id;address;ville;reference;plafond_montant;plafond_transaction
1;Home monitor;encryption;Pizza Ergonomic object-oriented;46817;17237
2;Dobra Developer;Function-based;Chair Bedfordshire;96543;70269
3;Rubber haptic West;Loan frame Brunei;Kids;58073;57636
4;Enterprise-wide blue Rubber;auxiliary Central;Dynamic;71026;61467
5;cutting-edge utilize;base Illinois;Gloves Chicken;33925;77275
6;moratorium Handmade;payment;Islands TCP Forward;34236;83900
7;facilitate solid plum;User-centric Borders;drive;54525;28648
8;card haptic;Intelligent haptic;Dollar hybrid;99976;6008
9;Accountability Orchestrator Square;Architect;Handcrafted;46045;93751
10;open-source Human;Sports Congolese multi-state;Customer;32245;48557
