id;solde;date_creation;status;rib
1;44612;2022-01-17;Tennessee Handmade Awesome;AI
2;69645;2022-01-17;microchip;Account attitude-oriented Fish
3;71384;2022-01-17;Texas Krona Infrastructure;maximize Down-sized
4;57606;2022-01-17;background Enhanced archive;Division calculating
5;54743;2022-01-17;bifurcated;index Ouguiya AGP
6;91886;2022-01-17;District Rapid standardization;Congolese Handcrafted
7;69498;2022-01-17;deposit Plastic;Cambridgeshire
8;16433;2022-01-17;user-centric Harbors;Cambridgeshire Lead
9;44696;2022-01-17;Arkansas Brand navigate;Strategist
10;1953;2022-01-17;Outdoors;Hungary Account
